Agent Name,Purpose,Model,Memory Type,Persona Context,UI Component,Output Format,Retry Policy,Triggers,Version Introduced,Tags,Dependencies,Execution Time (sec),Cost per Run ($),Concurrency,Data Sensitivity,Success Rate (%),Status,Owner,Business Priority,Data Retention,Audit Required,Access Control,Error Types,Monitoring Level,SLA Target (sec),User Impact,Revenue Impact,Last Updated,Next Review Date,Initial Prompt,Tool Access,Fallback Model,Max Retries,Retry Delay (s),Prompt Strategy,Memory Duration,UI Feedback Mechanism
Agent Name: Unique name of each AI (or human) agent in the system.,Purpose: A short description of what the agent does.,"Model: The LLM or system used (e.g., gpt-4, mixtral-8x7B, or human).","Memory Type: What kind of memory the agent uses (short_term, vector, or long_term).",Persona Context: Whether the agent uses persona-specific context (TRUE/FALSE).,UI Component: The frontend UI element where this agent’s results appear.,"Output Format: The shape or structure of the output (e.g., JSON fields, Markdown, numeric values).",Retry Policy: How many times the agent retries and what the fallback is (if any).,"Triggers: What event causes this agent to run (e.g., “New user input,” “Narrative output”).",Version Introduced: Which version of your system first ships this agent.,Tags: Keywords to categorize or filter agents.,Dependencies: Which agent(s) must finish before this one runs.,Execution Time (sec): Average runtime in seconds.,Cost per Run ($): Approximate compute cost for one invocation.,Concurrency: Whether multiple instances can run in parallel (“Yes”/“No”/“Limited”).,Data Sensitivity: Classification of data handled (None/Low/Medium/High).,Success Rate (%): Historical pass rate for correct/complete output.,"Status: Where the agent is in your pipeline (e.g., Active, Beta, Planned).",Owner: Team or individual responsible for maintaining it.,Business Priority: Impact level if the agent fails (Low/Medium/High/Critical).,Data Retention: How long its logs or outputs are kept.,Audit Required: Whether this agent’s decisions need audit compliance (Yes/No).,Access Control: Which roles/users can view/trigger this agent.,Error Types: Common error conditions to watch for.,Monitoring Level: Logging/alerting intensity (Basic/Standard/Enhanced).,SLA Target (sec): Service‐level target for overall turnaround time.,"User Impact: “Direct” if user sees it in real time, “Indirect” if mostly back‐end.",Revenue Impact: Rough revenue at risk if this agent malfunctions (Low/Medium/High).,Last Updated / Next Review Date: Dates for versioning and validation.,Initial Prompt: The exact “system” prompt that defines the agent’s role.,"Tool Access: Which specialized tools this agent can call (e.g., vectorDB, file, web_search, calculator).",Fallback Model: The model it backs off to if the primary “Model” fails.,Max Retries / Retry Delay (s): Retry settings (number of retries and seconds between).,"Prompt Strategy: High‐level reasoning style (CoT = Chain‐of‐Thought, RAG = Retrieval‐Augmented Generation, Reflection, Tracking, Matching, Scoring, Orchestration, Aggregation, etc.).","Memory Duration: How long the agent’s relevant memory is retained (e.g., “persona_profiles: permanent; critiques: 7 days”).","UI Feedback Mechanism: Exactly how the agent surfaces output/status to the user (e.g., “Chat bubble,” “Progress bar,” “Inline comments,” “Dashboard widget,” etc.).",,
Intake Assistant Agent,Gathers initial user input and extracts features/industry,gpt-4,short_term,FALSE,Input form → Intake Summary card,"Structured JSON (features_list, industry, follow_up)","1 retry, fallback to llama-3.1-8B",New user input,v1.0,"intake, initial",None,3.2,0.08,Yes,Medium,94.5,Active,Frontend Team,Critical,7 days,Yes,All Users,"Invalid input format, API timeout",Enhanced,5,Direct,High,6/6/2025,6/10/2025,"“You are the Intake Assistant. Gather initial user context: company description, sales personas, use cases, and any raw inputs for value modeling.”","vectorDB, file, web_search",gpt-4,2,5,Reflection,persona_profiles: permanent; critiques: 7 days,Chat bubble notifications (asks follow‐up questions)
Use Case Mapper Agent,Maps features to business use cases,mixtral-8x7B,short_term,FALSE,Use Case markdown block,Markdown bullet list,"2 retries, fallback to Human Review Agent",Output from Intake Agent,v1.0,"analysis, use-case-mapping",Intake Assistant Agent,5.8,0.12,Yes,Low,91.2,Active,AI Team,High,14 days,Yes,Editors+,"Context missing, hallucination",Standard,10,Direct,High,6/6/2025,6/10/2025,“You are the Use Case Mapper. Map user’s described use cases to potential business/value drivers.”,"vectorDB, file",gpt-4,2,5,RAG,feature_use_cases: 14 days,Interactive list with checkboxes (selecting mapped use cases)
Persona Agent,Generates detailed buyer persona,gpt-4,vector,TRUE,Stakeholder tabs,Markdown persona profile,No retries (approval required),Output from Use Case Mapper,v1.0,"persona, context",Use Case Mapper Agent,4.1,0.15,Limited,High,96.8,Active,AI Team,Critical,Permanent,Yes,Admins Only,"Persona mismatch, incomplete profile",Enhanced,8,Direct,High,6/6/2025,6/10/2025,“You are the Persona Agent. Retrieve or construct target buyer/user personas based on company profile and input data.”,"vectorDB, file",gpt-4,2,5,RAG,persona_profiles: permanent,Pop-up form showing persona details
Narrative Generator Agent,Generates business case story,gpt-4,short_term,TRUE,Business case preview,300 – 500 word persuasive narrative,None (flows to Critique),"Persona, Use Cases, Value, ROI",v1.1,"narrative, generation","Persona Agent, Value Driver Agent, ROI Calculator Agent",7.3,0.22,No,Medium,89.7,Active,Content Team,High,30 days,Yes,Editors+,"Length violations, tone issues",Enhanced,12,Direct,High,6/6/2025,6/10/2025,“You are the Narrative Generator. Craft a story/narrative that links value drivers to buyer pain points and outcomes.”,"vectorDB, file, web_search",gpt-4,2,5,CoT,critiques: 7 days,Document modal (renders generated narrative)
Critique Agent,Evaluates and scores the narrative,gpt-4,short_term,TRUE,AI feedback panel,"Critique summary, score, revision flag","3 loops max, escalate to Human Review",Narrative output,v1.1,"review, quality, scoring",Narrative Generator Agent,4.7,0.18,Yes,Low,92.3,Active,QA Team,High,7 days,Yes,Reviewers+,"Scoring inconsistency, bias detection",Standard,8,Indirect,Medium,6/6/2025,6/10/2025,"“You are the Critique Agent. Review previous outputs (e.g., narrative) and provide constructive feedback or identify gaps.”","memory (critiques), vectorDB",gpt-4,2,5,Reflection,critiques: 7 days,Inline comments with highlight markers
Human Review Agent,Human validation before approval,(none),long_term,TRUE,"Notion export, Slack alerts",Editable final case summary,Manual escalation,Critique limit or approval flow,v1.2,"review, compliance",Critique Agent,120,2.5,No,High,98.9,Active,Operations Team,Critical,Permanent,Yes,Admins Only,"Manual delays, approval bottlenecks",Basic,300,Direct,High,6/6/2025,6/10/2025,“You are the Human Review Agent. Present output to a human reviewer for final approval or edits.”,(manual review),gpt-4,2,5,Manual,(none),Notification/alert to assigned reviewer
Confidence Scoring Agent,Adds confidence metrics to outputs,gpt-4,short_term,FALSE,Confidence meter,"confidence_level (0 – 100), rationale",None,Each agent output,v1.3,"transparency, scoring",All Previous Agents,2.1,0.05,Yes,Low,97.1,Active,AI Team,Medium,7 days,No,All Users,"Calibration drift, score inflation",Standard,3,Indirect,Low,6/6/2025,6/10/2025,“You are the Confidence Scoring Agent. Assign a transparency/confidence score (0 – 100) to the latest AI recommendation.”,"memory (past scores), internal logic",gpt-4,2,5,Scoring,critiques: 7 days,Confidence meter (0 – 100 bar)
Progress Tracking Agent,Tracks UI state and flow progression,gpt-4,short_term,FALSE,"Progress bar, stepper UI","progress_percentage, current_step",None,All chaining events,v1.3,"UX, state",All Agents,1.2,0.02,Yes,None,99.2,Active,Frontend Team,Medium,1 day,No,All Users,"State sync issues, race conditions",Basic,2,Direct,Low,6/6/2025,6/10/2025,"“You are the Progress Tracking Agent. Monitor and update the user on workflow progress, current step, and estimated completion.”",internal state,gpt-4,2,5,Tracking,progress_states: 7 days,Progress bar (percentage)
Value Driver Agent,Maps use cases to business value,gpt-4,short_term,TRUE,Value pillar dashboard,"tier_1_pillars, tier_2, tier_3 metrics",None,Post-Use Case Mapping,v1.4,"value, economics",Use Case Mapper Agent,6.2,0.16,Yes,Medium,93.4,Active,Business Team,High,14 days,Yes,Editors+,"Value quantification errors, metric misalignment",Enhanced,10,Direct,High,6/6/2025,6/10/2025,"“You are the Value Driver Agent. Suggest relevant value drivers (e.g., cost savings, risk reduction) based on use cases and personas.”","vectorDB, file",gpt-4,2,5,RAG,persona_profiles: permanent; feature_use_cases: 14 days,Suggestions list (clickable checkboxes)
